Orthogroup,Tracheophyte,Bryophyte,Streptophyte_algae,Chlorophyte_algae,Cyanobacteria
OG0001168,1,1,1,1,0
OG0001170,1,1,1,0,0
OG0001175,1,1,1,0,0
OG0001177,1,1,1,1,0
OG0001180,1,0,0,0,0
OG0001181,1,0,0,0,0
OG0001191,1,1,1,1,0
OG0001194,1,1,0,0,0
OG0001195,1,1,1,1,0
OG0001196,1,1,0,0,0
OG0001200,1,1,0,0,0
OG0001202,1,1,1,1,1
OG0001208,1,1,0,0,0
OG0001209,1,1,1,1,0
OG0001211,1,1,1,1,0
OG0001212,1,1,1,1,0
OG0001218,1,0,1,0,0
OG0001221,1,1,1,1,0
OG0001222,1,1,1,1,0
OG0001223,1,1,1,1,0
OG0001225,1,1,1,1,0
OG0001230,1,1,0,0,0
OG0001231,1,1,1,1,0
OG0001235,1,1,1,1,0
OG0001238,1,1,1,0,0
OG0001242,1,1,1,1,0
OG0001243,1,1,1,0,0
OG0001244,1,1,1,1,0
OG0001245,1,1,1,1,1
OG0001247,1,1,1,1,1
OG0001252,1,1,1,1,1
OG0001254,1,1,1,1,1
OG0001260,1,1,1,1,0
OG0001267,1,1,1,1,0
OG0001268,1,1,1,0,0
OG0001272,1,1,1,1,0
OG0001273,1,1,1,0,0
OG0001276,1,1,1,1,0
OG0001277,1,0,0,0,0
OG0001287,1,1,1,1,1
OG0001291,1,1,1,1,1
OG0001294,1,1,1,1,0
OG0001295,1,1,1,1,0
OG0001303,1,1,1,1,1
OG0001307,1,1,1,0,0
OG0001310,1,1,1,1,0
OG0001312,1,1,1,1,1
OG0001316,1,1,1,1,0
OG0001317,1,1,1,1,0
OG0001318,1,1,1,1,0
OG0001322,1,0,0,0,0
OG0001324,1,1,1,1,0
OG0001325,1,1,1,1,0
OG0001330,1,1,1,1,0
OG0001337,1,1,1,1,0
OG0001341,1,1,1,1,0
OG0001343,1,1,1,1,1
OG0001347,1,0,1,0,0
OG0001351,1,1,1,1,1
OG0001352,1,1,1,1,0
OG0001356,1,1,1,1,0
OG0001360,1,1,1,0,0
OG0001361,1,1,1,1,0
OG0001363,1,1,1,1,0
OG0001364,1,1,1,1,1
OG0001365,1,1,1,1,1
OG0001367,1,1,1,1,0
OG0001368,1,1,1,1,1
OG0001372,1,1,1,1,0
OG0001373,1,1,1,0,0
OG0001374,1,1,1,1,0
OG0001375,1,1,1,1,1
OG0001378,1,1,1,0,0
OG0001379,1,1,1,1,0
OG0001382,1,1,1,1,0
OG0001384,1,1,1,1,0
OG0001389,1,1,1,1,1
OG0001393,1,1,1,1,1
OG0001394,1,1,1,0,0
OG0001396,1,1,1,1,1
OG0001400,1,1,1,0,0
OG0001401,1,1,1,1,0
OG0001404,1,1,1,1,1
OG0001406,1,1,1,1,1
OG0001407,1,1,1,1,1
OG0001408,1,1,0,0,0
OG0001409,1,1,0,0,0
OG0001412,1,1,1,1,1
OG0001414,1,1,1,1,0
OG0001418,1,1,1,1,1
OG0001419,1,1,1,1,1
OG0001420,1,1,1,1,1
OG0001427,1,1,1,1,0
OG0001430,1,1,1,1,1
OG0001431,1,1,1,1,0
OG0001432,1,1,1,1,1
OG0001433,1,1,1,1,1
OG0001435,1,1,1,1,1
OG0001438,1,1,1,1,0
OG0001441,1,1,1,1,0
OG0001444,1,1,1,0,0
OG0001446,1,0,0,0,0
OG0001448,1,1,1,1,0
OG0001453,1,0,0,0,0
OG0001456,1,1,1,1,0
OG0001460,1,1,1,1,0
OG0001464,1,1,1,1,1
OG0001469,1,1,1,0,1
OG0001475,1,1,1,1,0
OG0001476,1,1,1,1,0
OG0001484,1,1,1,1,0
OG0001486,1,1,1,1,0
OG0001489,1,1,1,1,0
OG0001490,1,1,1,1,1
OG0001492,1,1,1,1,0
OG0001493,1,1,1,1,0
OG0001496,1,1,1,1,0
OG0001497,1,1,1,1,0
OG0001508,1,1,0,0,0
OG0001510,1,1,1,1,1
OG0001511,1,1,1,1,1
OG0001512,1,1,1,1,1
OG0001518,1,1,1,1,0
OG0001519,1,1,1,1,1
OG0001523,1,1,1,0,0
OG0001525,1,1,1,1,1
OG0001526,1,1,1,1,0
OG0001530,1,1,1,0,0
OG0001532,1,1,1,1,0
OG0001537,1,1,1,0,0
OG0001544,1,1,1,0,0
OG0001545,1,1,1,1,0
OG0001549,1,1,1,1,0
OG0001550,1,1,1,1,0
OG0001553,1,1,1,1,0
OG0001554,1,1,1,0,0
OG0001555,1,1,1,1,0
OG0001564,1,1,1,1,0
OG0001568,1,1,1,1,0
OG0001569,1,1,1,1,1
OG0001571,1,1,1,1,0
OG0001580,1,1,1,1,1
OG0001587,1,1,1,0,0
OG0001589,1,1,1,1,0
OG0001591,1,1,1,1,0
OG0001592,1,1,1,1,0
OG0001605,1,1,0,0,0
OG0001611,1,1,0,0,0
OG0001612,1,1,1,1,1
OG0001614,1,1,1,1,0
OG0001616,1,1,1,1,0
OG0001618,1,1,1,0,0
OG0001629,1,1,1,1,0
OG0001630,1,1,1,1,0
OG0001634,1,1,1,1,0
OG0001637,1,1,1,1,0
OG0001640,1,1,1,1,0
OG0001641,1,1,1,1,1
OG0001642,1,1,1,1,0
OG0001645,1,1,1,1,0
OG0001648,1,0,0,0,0
OG0001655,1,0,1,1,0
OG0001656,1,0,0,0,0
OG0001660,1,1,1,1,0
OG0001664,1,1,1,1,0
OG0001665,1,1,1,1,0
OG0001669,1,1,1,1,0
OG0001675,1,1,0,0,0
OG0001678,1,1,1,1,0
OG0001680,1,1,0,0,0
OG0001682,1,1,1,1,0
